instancia                          items       OPT      H_BL     H_PSO    HoptBL   HoptPSO       ms
1977ChristofidesWhitlock1.csv         16     23.00     25.00     23.00    1.0870    1.0000       28
1977ChristofidesWhitlock2.csv         23     67.00     79.00     70.00    1.1791    1.0448       28
1977ChristofidesWhitlock3.csv         62    670.00    934.00    748.00    1.3940    1.1164       41
1982Bengtsson1.csv                    20     30.00     36.00     32.00    1.2000    1.0667       14
1982Bengtsson10.csv                  200    156.00    170.00    169.00    1.0897    1.0833      245
1982Bengtsson2.csv                    40     58.00     71.00     62.00    1.2241    1.0690       31
1982Bengtsson3.csv                    60     85.00    103.00     93.00    1.2118    1.0941       45
1982Bengtsson4.csv                    80    108.00    130.00    118.00    1.2037    1.0926       65
1982Bengtsson5.csv                   100    134.00    158.00    146.00    1.1791    1.0896       80
1982Bengtsson6.csv                    40     37.00     40.00     39.00    1.0811    1.0541       38
1982Bengtsson7.csv                    80     67.00     81.00     73.00    1.2090    1.0896       82
1982Bengtsson8.csv                   120    101.00    112.00    110.00    1.1089    1.0891      124
1982Bengtsson9.csv                   160    126.00    142.00    137.00    1.1270    1.0873      173
1985BeasleyJORS1.csv                  10   1016.00   1020.00   1016.00    1.0039    1.0000        5
1985BeasleyJORS2.csv                  20   1208.00   1431.00   1296.00    1.1846    1.0728       10
1985BeasleyJORS3.csv                  30   1803.00   2489.00   1897.00    1.3805    1.0521       17
1985BeasleyJORS4.csv                  50   3077.00   4453.00   3504.00    1.4472    1.1388       31
1985BeasleyOR1.csv                    10     23.00     28.00     23.00    1.2174    1.0000        5
1985BeasleyOR10.csv                   13     80.00     85.00     80.00    1.0625    1.0000        8
1985BeasleyOR11.csv                   15     52.00     63.00     55.00    1.2115    1.0577       10
1985BeasleyOR12.csv                   22     87.00    120.00     90.00    1.3793    1.0345       12
1985BeasleyOR2.csv                    17     30.00     37.00     31.00    1.2333    1.0333        8
1985BeasleyOR3.csv                    21     28.00     43.00     30.00    1.5357    1.0714       11
1985BeasleyOR4.csv                     7     20.00     20.00     20.00    1.0000    1.0000        3
1985BeasleyOR5.csv                    14     36.00     48.00     36.00    1.3333    1.0000        8
1985BeasleyOR6.csv                    15     31.00     41.00     32.00    1.3226    1.0323        8
1985BeasleyOR7.csv                     8     20.00     20.00     20.00    1.0000    1.0000        4
1985BeasleyOR8.csv                    13     33.00     40.00     34.00    1.2121    1.0303        7
1985BeasleyOR9.csv                    18     49.00     61.00     54.00    1.2449    1.1020       10
1996Jakobs1.csv                       25     15.00     19.00     16.00    1.2667    1.0667       21
1996Jakobs2.csv                       50     15.00     18.00     16.00    1.2000    1.0667       53
1998Hifi1.csv                          5     13.00      5.00      5.00    0.3846    0.3846        3
1998Hifi10.csv                         4     80.00     50.00     50.00    0.6250    0.6250        2
