instancia,items,ancho,opt_conocido,OPT_ref,H_BL,H_PSO,Hopt_BL,Hopt_PSO,ms
1977ChristofidesWhitlock1.csv,16,10.0000,true,23.0000,25.0000,23.0000,1.086957,1.000000,28
1977ChristofidesWhitlock2.csv,23,70.0000,true,67.0000,79.0000,70.0000,1.179104,1.044776,28
1977ChristofidesWhitlock3.csv,62,70.0000,true,670.0000,934.0000,748.0000,1.394030,1.116418,41
1982Bengtsson1.csv,20,25.0000,true,30.0000,36.0000,32.0000,1.200000,1.066667,14
1982Bengtsson10.csv,200,40.0000,true,156.0000,170.0000,169.0000,1.089744,1.083333,245
1982Bengtsson2.csv,40,25.0000,true,58.0000,71.0000,62.0000,1.224138,1.068966,31
1982Bengtsson3.csv,60,25.0000,true,85.0000,103.0000,93.0000,1.211765,1.094118,45
1982Bengtsson4.csv,80,25.0000,true,108.0000,130.0000,118.0000,1.203704,1.092593,65
1982Bengtsson5.csv,100,25.0000,true,134.0000,158.0000,146.0000,1.179104,1.089552,80
1982Bengtsson6.csv,40,40.0000,true,37.0000,40.0000,39.0000,1.081081,1.054054,38
1982Bengtsson7.csv,80,40.0000,true,67.0000,81.0000,73.0000,1.208955,1.089552,82
1982Bengtsson8.csv,120,40.0000,true,101.0000,112.0000,110.0000,1.108911,1.089109,124
1982Bengtsson9.csv,160,40.0000,true,126.0000,142.0000,137.0000,1.126984,1.087302,173
1985BeasleyJORS1.csv,10,250.0000,true,1016.0000,1020.0000,1016.0000,1.003937,1.000000,5
1985BeasleyJORS2.csv,20,250.0000,true,1208.0000,1431.0000,1296.0000,1.184603,1.072848,10
1985BeasleyJORS3.csv,30,250.0000,true,1803.0000,2489.0000,1897.0000,1.380477,1.052135,17
1985BeasleyJORS4.csv,50,250.0000,true,3077.0000,4453.0000,3504.0000,1.447189,1.138772,31
1985BeasleyOR1.csv,10,10.0000,true,23.0000,28.0000,23.0000,1.217391,1.000000,5
1985BeasleyOR10.csv,13,30.0000,true,80.0000,85.0000,80.0000,1.062500,1.000000,8
1985BeasleyOR11.csv,15,30.0000,true,52.0000,63.0000,55.0000,1.211538,1.057692,10
1985BeasleyOR12.csv,22,30.0000,true,87.0000,120.0000,90.0000,1.379310,1.034483,12
1985BeasleyOR2.csv,17,10.0000,true,30.0000,37.0000,31.0000,1.233333,1.033333,8
1985BeasleyOR3.csv,21,10.0000,true,28.0000,43.0000,30.0000,1.535714,1.071429,11
1985BeasleyOR4.csv,7,10.0000,true,20.0000,20.0000,20.0000,1.000000,1.000000,3
1985BeasleyOR5.csv,14,10.0000,true,36.0000,48.0000,36.0000,1.333333,1.000000,8
1985BeasleyOR6.csv,15,10.0000,true,31.0000,41.0000,32.0000,1.322581,1.032258,8
1985BeasleyOR7.csv,8,20.0000,true,20.0000,20.0000,20.0000,1.000000,1.000000,4
1985BeasleyOR8.csv,13,20.0000,true,33.0000,40.0000,34.0000,1.212121,1.030303,7
1985BeasleyOR9.csv,18,20.0000,true,49.0000,61.0000,54.0000,1.244898,1.102041,10
1996Jakobs1.csv,25,40.0000,true,15.0000,19.0000,16.0000,1.266667,1.066667,21
1996Jakobs2.csv,50,40.0000,true,15.0000,18.0000,16.0000,1.200000,1.066667,53
1998Hifi1.csv,5,5.0000,true,13.0000,5.0000,5.0000,0.384615,0.384615,3
1998Hifi10.csv,4,50.0000,true,80.0000,50.0000,50.0000,0.625000,0.625000,2
